COUNTRY,Country,VAR,Variable,CUR,Currency,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CAN,Canada,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2011,2011,CAD,Canadian Dollar,6,Millions,,,3122,,
CAN,Canada,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2012,2012,CAD,Canadian Dollar,6,Millions,,,3287,,
CAN,Canada,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2013,2013,CAD,Canadian Dollar,6,Millions,,,3383,,
CAN,Canada,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2014,2014,CAD,Canadian Dollar,6,Millions,,,3355,,
CAN,Canada,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2008,2008,CAD,Canadian Dollar,6,Millions,,,35707,,
CAN,Canada,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2009,2009,CAD,Canadian Dollar,6,Millions,,,34569,,
CAN,Canada,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2010,2010,CAD,Canadian Dollar,6,Millions,,,38361,,
CAN,Canada,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2011,2011,CAD,Canadian Dollar,6,Millions,,,40738,,
CAN,Canada,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2012,2012,CAD,Canadian Dollar,6,Millions,,,42996,,
CAN,Canada,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2013,2013,CAD,Canadian Dollar,6,Millions,,,44319,,
CAN,Canada,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2014,2014,CAD,Canadian Dollar,6,Millions,,,45190,,
CAN,Canada,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2008,2008,CAD,Canadian Dollar,6,Millions,,,28645,,
CAN,Canada,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2009,2009,CAD,Canadian Dollar,6,Millions,,,27680,,
CAN,Canada,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2010,2010,CAD,Canadian Dollar,6,Millions,,,30895,,
CAN,Canada,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2011,2011,CAD,Canadian Dollar,6,Millions,,,32974,,
CAN,Canada,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2012,2012,CAD,Canadian Dollar,6,Millions,,,35030,,
